,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
UCB1,2024-11-02,1100.5720061728393,1106.0208950617284,1067.0953395061729,1100.705339506173,1069.5386728395063,1101.205339506173,1067.5953395061729,1103.0486728395063,1067.695339506173,1100.705339506173
UCB1,2024-11-03,1126.227561728395,1132.676450617284,1093.7908950617284,1127.3608950617286,1096.2342283950618,1127.8608950617286,1094.2908950617284,1129.7042283950618,1094.3908950617285,1127.3608950617286
UCB1,2024-11-04,1158.8883950617283,1165.0872839506173,1126.3683950617285,1159.771728395062,1128.811728395062,1160.271728395062,1126.8683950617285,1162.1150617283952,1126.9683950617286,1159.771728395062
UCB1,2024-11-05,1199.1081172839504,1206.0136728395062,1166.9947839506174,1200.6981172839508,1169.4381172839508,1201.1981172839508,1167.4947839506174,1203.041450617284,1167.5947839506175,1200.6981172839508
UCB1,2024-11-06,1222.063672839506,1231.1358950617284,1191.450339506173,1225.820339506173,1193.8936728395063,1226.320339506173,1191.950339506173,1228.1636728395063,1192.050339506173,1225.820339506173
UCB1,2024-11-07,1265.3195061728393,1275.525061728395,1236.5795061728395,1270.2095061728396,1239.0228395061729,1270.7095061728396,1237.0795061728395,1272.5528395061729,1237.1795061728396,1270.2095061728396
UCB1,2024-11-08,1295.6878395061726,1306.0045061728395,1268.058950617284,1300.688950617284,1270.5022839506173,1301.188950617284,1268.558950617284,1303.0322839506173,1268.658950617284,1300.688950617284
UCB1,2024-11-09,1333.7225617283948,1344.7792283950616,1304.633672839506,1339.4636728395062,1307.0770061728394,1339.9636728395062,1305.133672839506,1341.8070061728395,1305.2336728395062,1339.4636728395062
UCB1,2024-11-10,1375.618672839506,1385.9486728395061,1349.307561728395,1380.9108950617285,1351.7508950617284,1381.4108950617285,1349.807561728395,1383.2542283950618,1349.9075617283952,1380.9108950617285
UCB1,2024-11-11,1407.5617283950614,1423.6295061728395,1382.6172839506173,1418.031728395062,1385.6206172839507,1418.531728395062,1383.1172839506173,1420.935061728395,1383.2172839506175,1418.031728395062
UCB1,2024-11-12,1448.5308950617282,1462.9320061728395,1421.586450617284,1457.334228395062,1424.5897839506174,1457.834228395062,1422.086450617284,1460.2375617283951,1422.1864506172842,1457.334228395062
UCB1,2024-11-13,1487.8131172839503,1500.647561728395,1459.3020061728396,1495.0497839506174,1462.305339506173,1495.5497839506174,1459.8020061728396,1497.9531172839506,1459.9020061728397,1495.0497839506174
UCB1,2024-11-14,1526.249382716049,1539.0560493827159,1496.2382716049383,1533.4582716049383,1499.2416049382716,1533.9582716049383,1496.7382716049383,1536.3616049382715,1496.8382716049384,1533.4582716049383
UCB1,2024-11-15,1560.4938271604935,1573.317160493827,1530.3327160493827,1568.7193827160495,1533.336049382716,1568.2193827160495,1530.8327160493827,1571.6227160493827,1530.9327160493829,1567.7193827160495
UCB1,2024-11-16,1590.0488271604936,1604.622160493827,1560.0543827160493,1600.0243827160496,1563.0577160493826,1599.5243827160496,1560.5543827160493,1602.9277160493828,1560.6543827160494,1599.0243827160496
UCB1,2024-11-17,1636.7143827160492,1651.621049382716,1606.7199382716049,1647.0232716049384,1609.7232716049382,1646.5232716049384,1607.2199382716049,1649.9266049382716,1607.319938271605,1646.0232716049384
UCB1,2024-11-18,1672.775709876543,1690.3831172839505,1641.543611111111,1684.785339506173,1645.5469444444443,1684.285339506173,1642.043611111111,1688.6886728395061,1642.143611111111,1683.785339506173
UCB1,2024-11-19,1719.974598765432,1736.248672839506,1688.9091666666666,1731.1508950617285,1692.9125,1730.1508950617285,1689.4091666666666,1735.0542283950617,1689.5091666666667,1729.6508950617285
UCB1,2024-11-20,1764.0243209876542,1775.6806172839506,1732.0877777777778,1771.582839506173,1735.091111111111,1770.582839506173,1732.5877777777778,1774.4861728395063,1732.687777777778,1770.082839506173
UCB1,2024-11-21,1801.850709876543,1813.5570061728395,1770.4141666666667,1809.159228395062,1772.2508333333333,1809.1258950617287,1770.2475,1812.0625617283952,1770.5141666666668,1807.959228395062
UCB1,2024-11-22,1853.558086419753,1862.4727160493826,1821.6632098765433,1858.074938271605,1822.49987654321,1859.0416049382718,1820.4965432098766,1860.9782716049383,1821.7632098765434,1856.874938271605
UCB1,2024-11-23,1896.1247530864196,1905.8282716049382,1865.1975848765433,1901.4304938271607,1865.2998765432098,1902.3971604938274,1864.0309182098765,1904.333827160494,1864.5632098765434,1900.2304938271607
UCB1,2024-11-24,1939.8878086419752,1946.3246604938272,1909.353973765432,1941.9268827160497,1909.4562654320987,1942.8935493827164,1908.1873070987654,1944.830216049383,1908.7195987654322,1940.7268827160497
UCB1,2024-11-25,1973.175308641975,1978.9954938271605,1944.641473765432,1975.597716049383,1944.7437654320986,1975.5643827160497,1943.4748070987653,1978.5010493827162,1944.0070987654321,1973.397716049383
UCB1,2024-11-26,2018.1172530864196,2024.126327160494,1989.1056404320987,2020.7285493827164,1989.2079320987652,2020.6952160493831,1987.938973765432,2023.6318827160496,1988.4712654320988,2018.5285493827164
UCB1,2024-11-27,2053.1073765432097,2061.492222222222,2023.5332638888888,2057.094444444445,2024.6355555555554,2056.0611111111116,2023.366597222222,2059.997777777778,2022.898888888889,2054.8944444444446
UCB1,2024-11-28,2096.0566049382714,2104.798395061728,2068.149158950617,2100.400617283951,2069.251450617284,2099.3672839506175,2067.9824922839503,2103.303950617284,2067.514783950617,2098.2006172839506
UCB1,2024-11-29,2143.266327160494,2152.9792283950615,2116.3088811728394,2148.581450617284,2117.411172839506,2147.548117283951,2116.1422145061724,2151.4847839506174,2115.6745061728393,2146.381450617284
UCB1,2024-11-30,2181.8828703703703,2191.169104938271,2154.898757716049,2187.171327160494,2155.401049382716,2186.7379938271606,2153.7320910493822,2190.074660493827,2154.664382716049,2184.5713271604936
ε-greedy,2024-10-02,42.62777777777778,53.51305555555555,62.303333333333335,72.14571428571429,81.64682539682539,88.47119047619047,96.17595238095238,102.44019274376417,101.78209750566893,103.93599206349207
ε-greedy,2024-10-03,79.96165532879819,93.05972222222222,97.72904761904762,109.86904761904762,119.58682539682539,125.9388988095238,134.7870634920635,142.4235260770975,138.19737528344672,138.57599206349207
ε-greedy,2024-10-04,109.21244897959184,126.7125,131.33460317460316,144.79126984126984,159.15349206349205,162.55417658730158,171.63150793650794,177.8610260770975,173.2220918367347,174.83904761904762
ε-greedy,2024-10-05,140.30133786848074,156.0013888888889,160.01238095238094,173.3801587301587,189.12015873015872,189.6263988095238,204.5759523809524,212.33868039808516,205.0157426303855,201.53349206349208
ε-greedy,2024-10-06,168.8846712018141,187.6725,193.18349206349205,205.4369841269841,218.12460317460318,217.9975099206349,238.8754585537919,241.61395817586293,235.3090759637188,226.1446031746032
ε-greedy,2024-10-07,205.92911564625854,226.6225,234.05015873015873,255.2103968253968,258.52539682539685,261.6271924603175,281.82625220458556,283.71145817586296,279.31986961451247,266.3509523809524
ε-greedy,2024-10-08,236.54022675736965,263.2891666666667,270.1946031746032,288.39928571428567,293.10317460317464,294.8094146825397,317.4529188712522,314.4047915091963,312.75625850340134,301.9109523809524
ε-greedy,2024-10-09,277.2246712018141,300.4488888888889,307.9501587301587,328.9048412698412,335.16428571428577,332.8205257936508,360.98069664903,357.47145817586295,352.5673696145125,337.88873015873014
ε-greedy,2024-10-10,318.247935090703,343.12944444444446,353.68031746031744,374.4781051587301,379.9896825396826,377.420248015873,403.97486331569667,402.2767359536407,398.7298696145125,384.5924955908289
ε-greedy,2024-10-11,361.6368239795919,389.16,401.63142857142856,419.53366071428565,424.09523809523813,421.6091369047619,451.682913202318,446.5181191735953,444.8299829931973,430.0980511463844
ε-greedy,2024-10-12,396.41460175736967,427.1377777777778,441.4806349206349,455.57254960317454,460.84384920634926,458.88135912698414,491.5315243134291,482.2958969513731,488.9210941043084,466.7591622574955
ε-greedy,2024-10-13,436.685435090703,469.51,481.3028571428571,495.1240178571428,504.445577601411,499.30040674603174,529.8593020912068,524.3458969513731,531.8270464852608,507.8658289241622
ε-greedy,2024-10-14,481.294810090703,512.619375,523.5461904761904,541.346240079365,556.2611331569666,557.1615178571428,581.8370798689846,574.1484763164525,580.7094770408163,559.9936067019399
ε-greedy,2024-10-15,535.9725878684808,564.181875,577.6434126984126,598.4795734126983,617.4833553791888,619.5870734126984,640.5245401864449,633.249031872008,642.0805881519274,616.2369400352733
ε-greedy,2024-10-16,560.2392545351474,591.8204861111111,607.0045238095237,621.0740178571427,639.3722442680777,647.602628968254,662.4800957420005,660.5979207608968,666.6714214852607,640.0734479717812
ε-greedy,2024-10-17,603.3838577097506,627.8649305555556,648.9402876984126,666.7226289682538,684.3166887125221,685.702628968254,703.2023179642226,699.7534763164524,704.7269770408162,683.4334479717812
ε-greedy,2024-10-18,656.2602465986395,675.0960416666667,698.0819543650792,722.8604067460316,740.3205776014111,739.3470734126984,756.8439846308893,752.1034763164524,759.4769770408162,736.311225749559
ε-greedy,2024-10-19,686.4602465986395,703.3015972222222,727.8875099206348,752.1131845238093,771.9316887125221,772.051240079365,786.4130322499369,783.0423652053413,794.4103103741495,770.6231305114637
ε-greedy,2024-10-20,712.6269132653061,729.9015972222222,753.2881272045854,779.0142956349205,800.5494664902999,799.0523511904761,814.1974766943814,808.7201429831191,823.2055881519273,796.8520194003527
ε-greedy,2024-10-21,746.9433021541951,763.619375,790.4520160934743,810.3451289682538,835.6344664902999,830.9937287414965,851.2378338372386,845.9523652053413,861.2516992630384,831.5939638447971
ε-greedy,2024-10-22,782.4488577097507,802.0571527777778,825.2075716490299,846.9062400793649,866.0622442680777,864.4226176303854,883.2267227261275,877.1932382212143,900.8183659297051,869.2200749559082
ε-greedy,2024-10-23,817.6671116780046,837.1738194444445,864.956182760141,892.1756845238094,905.4055776014111,900.8503954081632,919.6740243134291,915.7972064751825,935.4516992630384,903.667098765432
ε-greedy,2024-10-24,855.9171116780046,879.0638194444444,904.2906272045855,933.5112400793649,947.6858497102546,942.8670620748298,962.19501196775,959.1860953640714,980.8503103741496,948.3244753086419
ε-greedy,2024-10-25,884.2681533446713,906.7148611111111,932.6847244268076,964.8956150793649,974.0480024880324,973.7458815192742,992.168275856639,991.0871370307381,1006.0836437074829,975.7078086419752
ε-greedy,2024-10-26,904.966566043084,931.9804166666667,958.5248831569663,991.0511706349205,1000.5564151864451,1001.2089370748298,1018.5338314121946,1017.5193592529603,1032.017488504661,999.4633641975308
