,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
MABTree Random,2024-11-24,2088.9330032753846,2129.0747200176365,2136.352392920131,2159.228987937767,2080.0322415910805,2096.0936868543718,2076.616714695137,2139.7941702884855,2187.4963347190724,2171.498331128748
MABTree Random,2024-11-25,2129.857050894432,2173.639878747795,2175.281519904258,2191.9420434933227,2128.4028368291756,2148.049381298816,2127.4651373141846,2179.0348052091203,2239.6258585285964,2223.1902358906527
MABTree Random,2024-11-26,2174.0753842277654,2229.29301366843,2224.271797682036,2263.969156588561,2178.2323606386994,2210.566047965483,2193.206360544217,2235.324735764676,2296.9061249685055,2279.3942835097005
MABTree Random,2024-11-27,2228.636822719829,2286.9787279541442,2280.6932482993197,2313.0446667926426,2225.550574924414,2270.719250913329,2246.4030492567395,2289.854140526581,2355.4720993953133,2340.27809303351
MABTree Random,2024-11-28,2290.225156053162,2350.653370811287,2335.696014739229,2371.646117409927,2301.9585907974297,2339.0832985323764,2319.2424880322496,2346.4440435248175,2405.7532105064242,2392.5280873645756
MABTree Random,2024-11-29,2347.8416066704463,2408.6335791446204,2386.896716899723,2419.2016729654824,2365.3474796863184,2395.377941389519,2373.9345867976817,2397.753487969262,2463.19872637944,2446.2248333963216
MABTree Random,2024-11-30,2386.665019368859,2455.7146902557315,2433.9981057886116,2473.7957558578987,2417.151601001511,2434.7654017069794,2413.7025729087927,2445.784876858151,2502.92249622071,2494.3341984756867
MABTree Random,2024-12-01,2428.388352702192,2505.3485791446205,2473.2254823318217,2522.83559712774,2460.9902121126224,2475.0294890085665,2455.5602272297806,2511.4614641597386,2546.4266628873766,2536.3511315822625
MABTree Random,2024-12-02,2491.8185610355254,2561.1775573192235,2527.4558394746787,2586.849208238851,2520.3949343348445,2530.140054484757,2515.8609018329553,2568.9627340010084,2604.7516628873764,2585.858591899723
MABTree Random,2024-12-03,2548.0696721466365,2620.0696604938266,2575.236752173091,2640.65936696901,2582.460563586545,2577.4348560720587,2567.2772510393047,2614.9541228898975,2655.5417819349955,2639.714703010834
MABTree Random,2024-12-04,2599.748997543462,2686.702030108339,2619.0678632842023,2704.9304383975814,2641.351738315696,2623.428212081129,2609.8797907218445,2670.573567334342,2704.428119803476,2684.271964915596
MABTree Random,2024-12-05,2643.7463784958427,2741.477863441672,2674.319529950869,2758.6677343159486,2697.6407859347437,2672.488847001764,2663.063133975813,2725.6610559964734,2753.3275642479202,2735.8480462648026
MABTree Random,2024-12-06,2687.0577673847315,2797.068216175358,2729.33239260519,2815.0835619803474,2750.6742085537912,2725.1360295414465,2719.4564276266065,2786.178143424037,2807.2760065507673,2790.4061018203583
MABTree Random,2024-12-07,2732.264592781557,2845.900154950868,2771.679047933988,2862.9591118669687,2790.0302699042572,2767.5568628747797,2767.8885308012095,2834.455519967247,2849.682673217434,2850.573552059713
MABTree Random,2024-12-08,2777.5494340513983,2882.566691232047,2819.2067066641466,2912.374667422524,2827.6599921264797,2811.806585097002,2804.8565466742252,2882.071908856136,2891.7182287729897,2891.3636314247924
MABTree Random,2024-12-09,2822.3327673847316,2928.9457741244632,2858.5758038863687,2966.0855007558575,2869.9536429201303,2857.645950176367,2849.312062547241,2929.8509961577233,2941.772117661879,2933.307282218443
MABTree Random,2024-12-10,2863.307568972033,2975.611567775257,2903.9869149974797,3014.556056311413,2917.205702003023,2903.2465057319228,2890.1623403250187,2975.6699247291517,2990.4079113126727,2975.060683578987
