,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
MABTree ε-greedy MF,2024-11-16,1920.653474269337,1936.8880705152428,1953.392158289242,1904.1893948412705,2061.0287772423785,1880.3193949987403,1943.2542910682787,1834.7434960002513,2029.6872735575714,1911.3943332703454
MABTree ε-greedy MF,2024-11-17,1957.872720301083,1982.6842609914333,1997.6580709876546,1948.459712301588,2110.2183804169817,1932.6137027588813,1996.0787241748546,1891.942543619299,2067.195329113127,1958.0029443814565
MABTree ε-greedy MF,2024-11-18,2004.1712696837992,2027.4126680209117,2036.383517416226,1993.4089016439916,2161.733330656337,1980.9832541257244,2041.3004657974295,1942.9723615835217,2120.4988211766195,1995.586753905266
MABTree ε-greedy MF,2024-11-19,2051.7051188901482,2082.092787068531,2095.5809479717814,2054.5157610544225,2221.9769581443693,2041.7835892227263,2099.227009007306,1988.687331821617,2179.2163829050146,2061.434029037541
MABTree ε-greedy MF,2024-11-20,2095.8789964411685,2152.1848902431343,2140.876979717813,2116.4542361111116,2270.517303949358,2094.8414287288992,2159.729213592844,2029.2522524565375,2225.97443846057,2115.5984445074328
MABTree ε-greedy MF,2024-11-21,2154.785493039808,2213.09544579869,2205.3928924162255,2184.2518041383223,2327.8114706160245,2153.886315192744,2215.116753275384,2080.9608238851088,2281.6427717939036,2167.5315000629885
MABTree ε-greedy MF,2024-11-22,2221.84842387881,2270.170802941547,2269.189404604434,2246.410296201814,2376.8527190413206,2207.2263945578234,2263.5828346245903,2127.018929043839,2339.8286547304115,2221.9164956538175
MABTree ε-greedy MF,2024-11-23,2272.6195746724607,2316.739056909801,2325.057271667926,2293.6379946145125,2424.3560920571936,2262.767743764173,2307.3534695452254,2176.9621433295533,2382.1158769526337,2268.1557360166294
MABTree ε-greedy MF,2024-11-24,2321.2424714978574,2369.6312394494835,2378.595049445704,2342.2186068594106,2477.1604514676246,2318.156145124717,2354.3320409737967,2226.176825869236,2433.8719086986653,2323.07262314185
MABTree ε-greedy MF,2024-11-25,2375.444941735953,2426.1605747669437,2422.977916509196,2381.3407596371885,2527.0637054358785,2355.666418493324,2396.158271132527,2274.6600401549504,2478.210678539935,2371.7386548878817
MABTree ε-greedy MF,2024-11-26,2426.7073767006796,2471.4707555429577,2477.459285556815,2442.077952097506,2581.492247889897,2410.6418109095493,2440.7121699420504,2328.5967288674724,2521.0317455593354,2428.125043776771
MABTree ε-greedy MF,2024-11-27,2480.921706506676,2520.4603587175607,2530.3195633345927,2497.7221074263043,2625.266459278156,2456.1506997984384,2492.8171586041817,2386.5330679957165,2573.637910682792,2482.197572121442
MABTree ε-greedy MF,2024-11-28,2532.4569225560585,2571.781068594104,2575.4695633345927,2549.5771414399096,2676.1274400037796,2507.512723607962,2550.556598639455,2454.596758471907,2625.405472411187,2535.9618068153195
MABTree ε-greedy MF,2024-11-29,2588.626838781808,2634.54281462585,2629.9659522234815,2604.196466836735,2735.974895912069,2573.816850592089,2607.787114512471,2507.045052122701,2684.1688674729153,2606.392283005796
MABTree ε-greedy MF,2024-11-30,2638.0215893487016,2678.2412273242626,2671.4092855568147,2658.8807865646263,2783.3820551461326,2629.833210506425,2651.6165291950106,2565.7869852292765,2747.553153187201,2657.7959955278416
MABTree ε-greedy,2024-10-02,44.258452380952384,60.48357142857143,68.14247023809524,76.57622023809523,83.35684523809523,90.41499999999999,92.96784722222222,94.27365079365079,99.1697619047619,93.59399801587301
MABTree ε-greedy,2024-10-03,86.37998015873016,96.93426587301587,105.64073412698413,110.8255257936508,116.543998015873,128.40875,131.97270833333334,134.34359126984126,137.0992261904762,130.0655257936508
MABTree ε-greedy,2024-10-04,131.00949404761906,143.14357142857142,153.59944444444443,157.14594246031746,163.7741369047619,170.8781746031746,176.99347222222224,181.20532738095238,188.24957341269842,172.49809523809526
MABTree ε-greedy,2024-10-05,164.43352182539684,176.8943353174603,185.40258928571427,186.58941468253968,198.08899801587302,205.74109126984126,210.50984126984127,215.2269742063492,221.70415674603174,201.7033035714286
MABTree ε-greedy,2024-10-06,200.40991071428573,210.7550992063492,222.77585317460316,222.17969246031745,232.82094246031747,243.84518849206347,242.33060515873015,250.03940476190476,264.2167857142857,238.4435912698413
MABTree ε-greedy,2024-10-07,245.26025793650794,254.32315476190476,267.67724206349203,264.953998015873,277.61295634920634,288.28268849206347,285.2920634920635,291.43379960317463,309.35594246031746,286.44140873015874
MABTree ε-greedy,2024-10-08,286.48664682539686,300.83426587301585,308.5914087301587,308.4942757936508,320.89767857142857,333.9940773809524,326.1823412698413,341.13102182539683,354.8645535714286,331.3605753968254
MABTree ε-greedy,2024-10-09,331.27067460317465,345.9599603174603,349.1632837301587,347.94392857142856,361.823373015873,375.23539682539683,371.41294642857144,387.12060515873014,400.56358134920634,373.1307142857143
MABTree ε-greedy,2024-10-10,383.8005357142858,388.55822420634917,389.3198809523809,397.52656746031744,409.7733035714286,426.3180357142857,421.98621031746035,433.69102182539683,451.51184523809525,424.6089880952381
MABTree ε-greedy,2024-10-11,430.47935515873024,434.47127204585536,435.1459226190476,441.57855158730155,459.09517857142856,476.2282383786848,470.8730853174603,482.6042857142857,499.661498015873,473.7941964285714
MABTree ε-greedy,2024-10-12,471.3942857142858,477.1483553791887,471.5813392857143,476.92230158730155,491.3069841269841,512.1608772675737,508.948501984127,518.8453273809524,540.0274702380952,512.1557242063492
MABTree ε-greedy,2024-10-13,501.2518750000001,499.3994664902998,506.1782142857143,502.85528769841267,524.5899702380952,543.0966411564626,541.2552182539682,552.6519246031746,568.8365674603175,539.331369047619
MABTree ε-greedy,2024-10-14,536.0793055555556,533.0602303791887,556.3648058390023,543.2366865079365,561.714623015873,582.4285856009071,580.6266071428571,594.2519940476191,603.7251785714286,580.0504662698412
MABTree ε-greedy,2024-10-15,587.1616964285715,582.6496748236332,604.6860856009071,593.6596329365079,613.4764583333333,628.4420082199547,633.1370932539683,644.261369047619,649.1128869047619,637.1334523809523
MABTree ε-greedy,2024-10-16,623.6343353174605,618.9962026014109,640.5537939342404,628.9585416666666,649.836875,662.6857582199547,670.6659126984127,678.9467857142857,683.8516369047619,669.6119246031745
MABTree ε-greedy,2024-10-17,682.9766964285716,672.4989803791887,695.6385161564626,682.2897222222222,704.2829861111111,718.5457582199547,725.270009920635,734.1773412698412,743.1183035714286,724.2806746031746
